OMP_SCHEDULE,OMP_NUM_THREADS,Time_Loop1,Time_Loop2
STATIC,1,2.095779,3.908577
STATIC,2,1.768223,2.921102
STATIC,4,1.786028,2.343324
STATIC,8,1.826044,2.540672
STATIC,16,1.820770,2.645488
STATIC,32,1.923801,4.301841
STATIC,64,2.001972,7.819624
DYNAMIC,1,1.765534,1.930667
DYNAMIC,2,1.736752,1.905516
DYNAMIC,4,1.753804,1.911685
DYNAMIC,8,1.761152,1.899689
DYNAMIC,16,1.795858,1.902066
DYNAMIC,32,1.881063,3.674234
DYNAMIC,64,2.047299,7.216828
GUIDED,1,1.722930,9.350006
GUIDED,2,1.738104,9.510454
GUIDED,4,1.751843,9.482748
GUIDED,8,1.765302,9.383468
GUIDED,16,1.800853,9.533962
GUIDED,32,1.886149,9.499491
GUIDED,64,2.006506,9.436207
